,title,sponsers,texts
1,Tax Cuts and Jobs Act,"[Sen. Enzi, Michael B. [R-WY]]","This bill amends the Internal Revenue Code to reduce tax rates and modify policies, credits, and deductions for individuals and businesses."
11,Jerusalem Embassy and Recognition Act,"[Sen. Heller, Dean [R-NV], Sen. Cruz, Ted [R-TX], Sen. Rubio, Marco [R-FL], Sen. Cotton, Tom [R-AR], Sen. Inhofe, James M. [R-OK], Sen. Cornyn, John [R-TX], Sen. Toomey, Pat [R-PA], Sen. Hatch, Orrin G. [R-UT], Sen. Johnson, Ron [R-WI]]", This bill states that it should be U.S. policy to recognize Jerusalem as the undivided capital of Israel. 
12,Increasing the Department of Veterans Affairs Accountability to Veterans Act of 2017,"[Sen. Moran, Jerry [R-KS], None, Sen. Moran, Jerry [R-KS], Sen. Blumenthal, Richard [D-CT], Sen. Bennet, Michael F. [D-CO]]", This bill requires the reduction of the federal annuities of individuals removed from the Department of Veterans Affairs (VA) Senior Executive Service (SES) if they are convicted of a felony that was related to their performance while employed in such position.
13,No Windfalls for Government Service Act,"[Sen. Whitehouse, Sheldon [D-RI], Sen. Baldwin, Tammy [D-WI], Sen. Warren, Elizabeth [D-MA], Sen. Feinstein, Dianne [D-CA]]",This bill amends the Internal Revenue Code to establish a $1 million lifetime limitation on the nonrecognition of a taxpayer's gains from the sale of property pursuant to a certificate of divesture to comply with conflict-of-interest requirements for certain federal government positions. 
14,"No Budget, No Pay Act","[Sen. Heller, Dean [R-NV], Sen. Manchin, Joe, III [D-WV], Sen. Barrasso, John [R-WY], Sen. Gardner, Cory [R-CO], Sen. Burr, Richard [R-NC], Sen. Capito, Shelley Moore [R-WV], Sen. Hassan, Margaret Wood [D-NH], Sen. Perdue, David [R-GA], Sen. Tillis, Thom [R-NC], Sen. Ernst, Joni  [R-IA]]","This bill prohibits the payment of any pay to any Member of Congress (excluding the Vice President): (1) if both houses of Congress have not approved a concurrent resolution on the budget for a fiscal year before October 1 of that fiscal year and have not passed all the regular appropriations bills for the next fiscal year by such date, or (2) until both houses of Congress approve such a budget resolution and pass all such appropriations bills. Retroactive pay is prohibited for such a period."
15,Iran Ballistic Missile Sanctions Act,"[Sen. Heller, Dean [R-NV]]",This bill amends the Iran-Iraq Arms Non-Proliferation Act of 1992 to cover ballistic missile or related technology.
16,Federal Reserve Transparency Act of 2017,"[Sen. Paul, Rand [R-KY], Sen. Barrasso, John [R-WY], Sen. Blunt, Roy [R-MO], Sen. Gardner, Cory [R-CO], Sen. Grassley, Chuck [R-IA], Sen. Heller, Dean [R-NV], Sen. Lee, Mike [R-UT], Sen. Portman, Rob [R-OH], Sen. Risch, James E. [R-ID], Sen. Isakson, Johnny [R-GA], Sen. Scott, Tim [R-SC], Sen. Boozman, John [R-AR], Sen. Capito, Shelley Moore [R-WV], Sen. Young, Todd C. [R-IN], Sen. Lankford, James [R-OK], Sen. Rubio, Marco [R-FL], Sen. Daines, Steve [R-MT]]","This bill directs the Government Accountability Office (GAO) to complete, within 12 months, an audit of the Federal Reserve Board and Federal Reserve banks."
17,GAO Access and Oversight Act of 2017,"[Sen. Sasse, Ben  [R-NE], Sen. Tester, Jon [D-MT], Sen. Johnson, Ron [R-WI], Sen. Carper, Thomas R. [D-DE], Sen. Schatz, Brian [D-HI], Sen. Baldwin, Tammy [D-WI], Sen. Ernst, Joni  [R-IA], Sen. Enzi, Michael B. [R-WY], Sen. McCaskill, Claire [D-MO], Sen. Perdue, David [R-GA], Sen. Risch, James E. [R-ID], Sen. Lee, Mike [R-UT], Sen. Daines, Steve [R-MT], Sen. Young, Todd C. [R-IN], Sen. McCain, John [R-AZ], Sen. Lankford, James [R-OK], Sen. Tillis, Thom [R-NC], Sen. Portman, Rob [R-OH], Sen. Duckworth, Tammy [D-IL]]","This bill authorizes the Government Accountability Office (GAO) to obtain federal agency records required to discharge the GAO's duties (including audit, evaluation, and investigative duties), including through bringing civil actions to require an agency to produce a record."
18,Fair Tax Act of 2017,"[Sen. Isakson, Johnny [R-GA], Sen. Inhofe, James M. [R-OK], Sen. Lankford, James [R-OK], None, Sen. Moran, Jerry [R-KS]]","This bill is a tax reform proposal that imposes a national sales tax on the use or consumption in the United States of taxable property or services in lieu of the current income and corporate income tax, employment and self-employment taxes, and estate and gift taxes. The rate of the sales tax will be 23% in 2019, with adjustments to the rate in subsequent years. There are exemptions from the tax for used and intangible property, for property or services purchased for business, export, or investment purposes, and for state government functions. "
19,MOBILE NOW Act,"[Sen. Thune, John [R-SD], Sen. Nelson, Bill [D-FL]]","This bill requires the National Telecommunications and Information Administration (NTIA) and the Federal Communications Commission (FCC), by December 31, 2020, to make available at least 255 megahertz of federal and nonfederal spectrum below the frequency of 6000 megahertz for mobile and fixed wireless broadband use. At least: (1) 100 megahertz shall be made available on an unlicensed basis; and (2) 100 megahertz shall be made available on an exclusive, licensed basis for commercial mobile use subject to potential continued use by incumbent federal entities in designated geographic areas."
